"Id","Name","Endpoint","Type","Source","Dest"
"152","camera-stream","ag-rp2","docker","portainer_dump\compose\152\docker-compose.yml","stacks\docker\ag-rp2\camera-stream\docker-compose.yml"
"100","grafana","BL-MP2 ( Fredo )","docker","portainer_dump\compose\100\docker-compose.yml","stacks\docker\bl-mp2-fredo\grafana\docker-compose.yml"
"121","homepage","BL-MP2 ( Fredo )","docker","portainer_dump\compose\121\docker-compose.yml","stacks\docker\bl-mp2-fredo\homepage\docker-compose.yml"
"2","nginx_manager_stack","BL-MP2 ( Fredo )","docker","portainer_dump\compose\2\docker-compose.yml","stacks\docker\bl-mp2-fredo\nginx_manager_stack\docker-compose.yml"
"103","nginx_proxy_manager","BL-MP2 ( Fredo )","docker","portainer_dump\compose\103\docker-compose.yml","stacks\docker\bl-mp2-fredo\nginx_proxy_manager\docker-compose.yml"
"104","open-webui","BL-MP2 ( Fredo )","docker","portainer_dump\compose\104\docker-compose.yml","stacks\docker\bl-mp2-fredo\open-webui\docker-compose.yml"
"94","wireguard","BL-MP2 ( Fredo )","docker","portainer_dump\compose\94\docker-compose.yml","stacks\docker\bl-mp2-fredo\wireguard\docker-compose.yml"
"146","ollama","Clemenza","docker","portainer_dump\compose\146\docker-compose.yml","stacks\docker\clemenza\ollama\docker-compose.yml"
"145","romascus","Clemenza","docker","portainer_dump\compose\145\docker-compose.yml","stacks\docker\clemenza\romascus\docker-compose.yml"
"54","ldap-service","endpoint-11","docker","portainer_dump\compose\54\docker-compose.yml","stacks\docker\endpoint-11\ldap-service\docker-compose.yml"
"59","sharelatex","endpoint-11","docker","portainer_dump\compose\59\docker-compose.yml","stacks\docker\endpoint-11\sharelatex\docker-compose.yml"
"83","jupyter_hub","endpoint-13","docker","portainer_dump\compose\83\docker-compose.yml","stacks\docker\endpoint-13\jupyter_hub\docker-compose.yml"
"79","postgresql","endpoint-13","docker","portainer_dump\compose\79\docker-compose.yml","stacks\docker\endpoint-13\postgresql\docker-compose.yml"
"13","postgresql","endpoint-13","docker","portainer_dump\compose\13\docker-compose.yml","stacks\docker\endpoint-13\postgresql\docker-compose.yml"
"76","semaphore","endpoint-13","docker","portainer_dump\compose\76\docker-compose.yml","stacks\docker\endpoint-13\semaphore\docker-compose.yml"
"78","firefly","endpoint-16","docker","portainer_dump\compose\78\docker-compose.yml","stacks\docker\endpoint-16\firefly\docker-compose.yml"
"77","gitlab","endpoint-16","docker","portainer_dump\compose\77\docker-compose.yml","stacks\docker\endpoint-16\gitlab\docker-compose.yml"
"90","authetnik-deployment","endpoint-19","docker","portainer_dump\compose\90\docker-compose.yml","stacks\docker\endpoint-19\authetnik-deployment\docker-compose.yml"
